x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
-268.3487497573951,895.1747358394787,34.67495656833053,103.12790765359752,2.9447925352991335,0,2,0,0,0
-267.5977769574383,895.8606532095,34.6788568597287,103.12853094193892,3.4189625827970187,0,2,0,0,0
-266.85155946563464,896.5494458135217,34.693208617903295,103.12915025019863,3.8140359389431233,0,2,0,0,0
-266.08204810350435,897.2473754994571,34.72112541999668,103.12978894706089,4.186024418494946,0,2,0,0,0
-265.31431538477773,897.9525127978995,34.71728488970548,103.13042612696097,4.506237533160799,0,2,0,0,0
-264.56539437075844,898.6437610508874,34.72162685990334,103.13104767817083,4.757567743914495,0,2,0,0,0
-263.77616325899726,899.371786638163,34.73253136016429,103.13170268537029,4.991270695800546,0,2,0,0,0
-263.0341958421632,900.0583868203685,34.73866720851511,103.13231845683738,5.101586015787433,0,2,0,0,0
-262.26762092427816,900.7378247594461,34.74356448259205,103.13295478794446,5.129842847673665,0,2,0,0,0
-261.49202972865896,901.4100046474487,34.7556879369542,103.13359867304057,5.124004576347373,0,2,0,0,0
-260.69703710085014,902.0516378488392,34.763696754165,103.13425888308399,5.076225236823967,0,2,0,0,0
-259.8834881209186,902.6495707361028,34.76575583200902,103.13493477338547,5.013789870564599,0,2,0,0,0
-258.9784520827816,903.2723045852035,34.75884819477797,103.13568686521268,4.955894224693326,0,2,0,0,0
-258.0643367044977,903.8503167936578,34.75659335292876,103.13644673699774,4.867383126655011,0,2,0,0,0
-257.1332210501423,904.3649480128661,34.760371381230655,103.13722108129744,4.7912868299839175,0,2,0,0,0
-256.19123096374096,904.8280599098653,34.74907557368279,103.1380047340777,4.718168611123374,0,2,0,0,0
-255.23437499650754,905.2191646751016,34.74270755313337,103.13880111885301,4.651327608759238,0,2,0,0,0
-254.26685709645972,905.5418057218194,34.738495709188285,103.13960671285203,4.589328575211182,0,2,0,0,0
-253.2917903107591,905.7865398582071,34.720789494737986,103.14041896267648,4.528394807268683,0,2,0,0,0
-252.2234147959971,905.976845966652,34.720230150781575,103.14130929910192,4.466043945735107,0,2,0,0,0
-251.16035894595552,906.0743872374296,34.7189577806741,103.14219562525787,4.3794828461630235,0,2,0,0,0
-250.11245923041133,906.0764733841643,34.705008967593315,103.14306974838222,4.3045761876906,0,2,0,0,0
-249.08689759508707,905.9889965038747,34.697995932586494,103.14392565031686,4.2286771591484635,0,2,0,0,0
-248.09307548310608,905.8058717045933,34.701629613339904,103.14475551714014,4.140589155944327,0,2,0,0,0
-247.06789503106847,905.5074574053288,34.70411122944206,103.14561207343276,4.0285392848540456,0,2,0,0,0
-246.10948331153486,905.098999385722,34.699460794962945,103.1464134403007,3.9454935026978206,0,2,0,0,0
-245.21833209926262,904.5970294093713,34.700964058563116,103.14715913173464,3.888354279964757,0,2,0,0,0
-244.39771159837255,904.0106099043041,34.70813798233867,103.14784637718716,3.835673513992205,0,2,0,0,0
-243.65198719030013,903.3437693361193,34.68795924149454,103.1484715171827,3.824057799618618,0,2,0,0,0
-242.94485147594241,902.6359207369387,34.70611754879356,103.14906465683833,3.844180417899239,0,2,0,0,0
-242.30264713749057,901.8625457175076,34.70363314524293,103.14960393482288,3.8547710613772823,0,2,0,0,0
-241.7062633795431,901.051459656097,34.70517762731761,103.15010516426523,3.868917322769948,0,2,0,0,0
-241.15157993038883,900.2069817250594,34.71337616797537,103.15057176250941,3.881894012454205,0,2,0,0,0
-240.63143980997847,899.336053376086,34.71192066725344,103.15100966773154,3.896706433088286,0,2,0,0,0
-240.13318444805918,898.4484442416579,34.713829150237146,103.1514293944251,3.9075873159098795,0,2,0,0,0
-239.65372780617326,897.5509509984404,34.720709183067086,103.15183348549422,3.941899840685103,0,2,0,0,0
-239.1788252463448,896.6443656189367,34.72869803737849,103.15223381972987,3.9305426163604613,0,2,0,0,0
-238.7254798662034,895.7280264217407,34.7340128261596,103.1526162164287,3.938787126699791,0,2,0,0,0
-238.24549815309,894.8233526907861,34.72415659930557,103.15302077935121,3.944509133804002,0,2,0,0,0
-237.78650134854252,893.9108121013269,34.73173417504877,103.15340787367761,3.913959738879873,0,2,0,0,0
-237.3092423674534,893.0107787931338,34.75409707967192,103.15381014451052,3.9221709237972555,0,2,0,0,0
-236.81431289203465,892.1201621163636,34.75460248049349,103.15422711240245,3.9163641612694082,0,2,0,0,0
-236.29582441132516,891.2433263314888,34.78082170411945,103.15466366916706,3.917317440311815,0,2,0,0,0
-235.7407578752609,890.3871900513768,34.78509670197964,103.15513064381787,3.9297080719573056,0,2,0,0,0
-235.16673500963952,889.5414684247226,34.799659381434324,103.15561338372983,3.9356365824881254,0,3,0,0,0
-234.56232474581338,888.7154695726931,34.805322719551626,103.15612138134613,3.9327041292691907,0,3,0,0,0
-233.9469046292943,887.9074410907924,34.81443534959108,103.15663848065402,3.8827176117886895,0,3,0,0,0
-233.276541535859,887.0709230219945,34.820990382507446,103.15720154411446,3.7986344796508846,0,3,0,0,0
-232.60812272218755,886.2641885271296,34.82650710064918,103.15776284871434,3.691500567092372,0,3,0,0,0
-231.95249959715875,885.4996406845748,34.833972157724205,103.1583132850837,3.503431293335647,0,3,0,0,0
-231.2916680846247,884.7483283411711,34.84176863431931,103.15886800522878,3.17311220306117,0,3,0,0,0
-230.60173805005616,883.9763682512566,34.85041132178158,103.1594470943534,2.584549202628773,0,3,0,0,0
